name,estimated_period_beginning,estimated_period_ending,descriptions,material_number,material_to_material,old_id,position,underage,,,,
高欄合（雀）,明治9年,昭和38年10月,,110,,71,B,,,,,
高欄合（雀）,明治9年,昭和38年10月,,111,,72,B,,,,,
高欄合カ,明治9年,昭和38年10月,,112,,74,Ｂ,,,,,
獅噛（爪）,明治9年,昭和38年10月,,113,,75,A,,,,,
高欄合,明治9年,昭和38年10月,,114,,76,B,,,,,
柄振板（獅子）,明治9年,昭和38年10月,,115,117,118,154,541,77,A側,,
桁隠し,明治9年,昭和38年10月,,116,,78,A正（左）,,,,,
虹梁,明治9年,昭和38年10月,,117,115,118,154,541,79,A側,,
虹梁（獅子の足）,明治9年,昭和38年10月,,118,115,117,154,541,79-(1),A,,
獅噛の顔,明治9年,昭和38年10月,,119,,80,A,,,,,
虹梁,明治9年,昭和38年10月,,120,444,544,81,A（小屋根正面）,,,,
車板（波）,明治9年,昭和38年10月,,123,,84,,,,,,
車板（波）,明治9年,昭和38年10月,,124,,85,,,,,,
,明治9年,昭和38年10月,,125,,86,,,,,,
,明治9年,昭和38年10月,,126,,87,,,,,,
車板（龍の爪）,明治9年,昭和38年10月,,127,,88,,,,,,
,明治9年,昭和38年10月,,128,,89,,,,,,
,明治9年,昭和38年10月,,129,,90,,,,,,
,明治9年,昭和38年10月,,132,,93,,,,,,
,明治9年,昭和38年10月,,133,,94,,,,,,
,明治9年,昭和38年10月,,134,,95,,,,,,
,明治9年,昭和38年10月,,135,,96,,,,,,
,明治9年,昭和38年10月,,136,,97,,,,,,
,明治9年,昭和38年10月,,137,,98,,,,,,
,明治9年,昭和38年10月,,138,,99,,,,,,
,明治9年,昭和38年10月,,139,,100,,,,,,
虹梁（獅子の尾）,明治9年,昭和38年10月,,140,,101,,,,,,
,明治9年,昭和38年10月,,141,,102,,,,,,
,明治9年,昭和38年10月,,142,,103,,,,,,
脇障子（矢筈）,明治9年,昭和38年10月,,144,,105,,,,,,
脇障子（矢筈）,明治9年,昭和38年10月,,145,,106,,,,,,
,明治9年,昭和38年10月,,146,,107,,,,,,
,明治9年,昭和38年10月,,147,,108,,,,,,
,明治9年,昭和38年10月,,148,,109,,,,,,
,明治9年,昭和38年10月,,149,,110,,,,,,
,明治9年,昭和38年10月,,150,,111,,,,,,
,明治9年,昭和38年10月,,151,,112,,,,,,
,明治9年,昭和38年10月,,152,,113,,,,,,
,明治9年,昭和38年10月,,153,,114,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,154,448,115,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,155,,116,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,156,,117,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,157,,118,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,158,,119,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,159,,120,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,160,,121,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,161,,122,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,162,,123,,,,,,
,明治9年,昭和38年10月,,163,,124,,,,,,
牡丹の葉,明治9年,昭和38年10月,,164,,125,,,,,,
足,明治9年,昭和38年10月,,165,,126,,,,,,
牡丹の葉,明治9年,昭和38年10月,,166,,127,,,,,,
牡丹の葉,明治9年,昭和38年10月,,167,,128,,,,,,
牡丹の葉,明治9年,昭和38年10月,,168,,129,,,,,,
牡丹の葉,明治9年,昭和38年10月,,169,,130,,,,,,
牡丹の葉,明治9年,昭和38年10月,,170,,131,,,,,,
,明治9年,昭和38年10月,,171,,132,,,,,,
縣魚（羽）,明治9年,昭和38年10月,,172,,133,,,,,,
縣魚（羽）,明治9年,昭和38年10月,,173,,134,,,,,,
,明治9年,昭和38年10月,,174,,135,,,,,,
,明治9年,昭和38年10月,,175,,136,,,,,,
,明治9年,昭和38年10月,,176,,137,,,,,,
,明治9年,昭和38年10月,,177,,138,,,,,,
車板（龍の爪）,明治9年,昭和38年10月,,178,,139,,,,,,
車板（波）,明治9年,昭和38年10月,,179,,140,,,,,,
,明治9年,昭和38年10月,,180,,141,,,,,,
,明治9年,昭和38年10月,,181,,142,,,,,,
,明治9年,昭和38年10月,,182,,143,,,,,,
,明治9年,昭和38年10月,,183,,144,,,,,,
,明治9年,昭和38年10月,,184,,145,,,,,,
桁隠し（鳥の頭）,明治9年,昭和38年10月,,185,,146,,,,,,
松の葉,明治9年,昭和38年10月,,186,,147,,,,,,
松の葉,明治9年,昭和38年10月,,187,,148,,,,,,
車板（波）,明治9年,昭和38年10月,,188,,149,,,,,,
,明治9年,昭和38年10月,,189,,150,,,,,,
車板（龍の眉）,明治9年,昭和38年10月,,190,,151,,,,,,
,明治9年,昭和38年10月,,191,,152,,,,,,
,明治9年,昭和38年10月,,192,,153,,,,,,
,明治9年,昭和38年10月,,193,,154,,,,,,
車板（波）,明治9年,昭和38年10月,,194,,155,,,,,,
車板（波）,明治9年,昭和38年10月,,195,,156,,,,,,
車板（波）,明治9年,昭和38年10月,,196,,157,,,,,,
,明治9年,昭和38年10月,,197,,158,,,,,,
,明治9年,昭和38年10月,,198,,159,,,,,,
,明治9年,昭和38年10月,,199,,160,,,,,,
足（蹄）,明治9年,昭和38年10月,,200,,161,,,,,,
,明治9年,昭和38年10月,,201,,162,,,,,,
車板（龍火焔）,明治9年,昭和38年10月,,202,,163,,,,,,
,明治9年,昭和38年10月,,203,,165,,,,,,
,明治9年,昭和38年10月,,204,463,164,,,,,,
,明治9年,昭和38年10月,,205,,166,,,,,,
,明治9年,昭和38年10月,,206,,167,,,,,,
,明治9年,昭和38年10月,,207,,168,,,,,,
,明治9年,昭和38年10月,,208,,169,,,,,,
,明治9年,昭和38年10月,,209,,170,,,,,,
,明治9年,昭和38年10月,,210,,171,,,,,,
,明治9年,昭和38年10月,,211,,172,,,,,,
,明治9年,昭和38年10月,,212,,173,,,,,,
車板（波）,明治9年,昭和38年10月,,213,461,174,,,,,,
,明治9年,昭和38年10月,,214,,175,,,,,,
,明治9年,昭和38年10月,,215,,176,,,,,,
,明治9年,昭和38年10月,,216,,177,,,,,,
,明治9年,昭和38年10月,,218,,179,,,,,,
,明治9年,昭和38年10月,,219,,180,,,,,,
車板（波）,明治9年,昭和38年10月,,220,,181,,,,,,
車板（波）,明治9年,昭和38年10月,,221,,182,,,,,,
